node no,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,node no,degree centrality
,node name,phytoplankton,Ulva...Enteromorpha,suspended.detritus,sedimented.detritus,Mysidacea,Copepoda,Scrobicularia.plana...Cerastoderma,Mytilus.galloprovincialis,Gammaridae,Corophium,Cirratulidae...Capitellidae...Maldanidae,meiofauna,Engraulis.encrasicolus,Sardina.pilchardus,Clupeidae,Carcinus.maenas,Crangon.crangon,Nereis.diversicolor,Pomatoschistus.minutus,Conger.conger,Trigla.lucerna,Solea.vulgaris,Nereis.succinea,Dicentrarchus.labrax,Ciliata.mustela,birds,Chelon.labrosus...Liza.ramada...L..aurata,bacteria,TOTAL,,,,
1,phytoplankton,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,
2,Ulva...Enteromorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,2,
3,suspended.detritus,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,,3,
4,sedimented.detritus,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,10,,,4,
5,Mysidacea,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,6,,,5,
6,Copepoda,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,,,6,
7,Scrobicularia.plana...Cerastoderma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,,,7,
8,Mytilus.galloprovincialis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,,,8,
9,Gammaridae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,,,9,
10,Corophium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,,,10,
11,Cirratulidae...Capitellidae...Maldanidae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,7,,,11,
12,meiofauna,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,5,,,12,
13,Engraulis.encrasicolus,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,,,13,
14,Sardina.pilchardus,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,6,,,14,
15,Clupeidae,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,5,,,15,
16,Carcinus.maenas,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,7,,,16,
17,Crangon.crangon,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,9,,,17,
18,Nereis.diversicolor,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,8,,,18,
19,Pomatoschistus.minutus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,7,,,19,
20,Conger.conger,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,9,,,20,
21,Trigla.lucerna,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,9,,,21,
22,Solea.vulgaris,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,6,,,22,
23,Nereis.succinea,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,,,23,
24,Dicentrarchus.labrax,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5,,,24,
25,Ciliata.mustela,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,13,,,25,
26,birds,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,8,,,26,
27,Chelon.labrosus...Liza.ramada...L..aurata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,23,,,27,
28,bacteria,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,28,
,TOTAL,3,1,4,10,6,5,3,4,4,3,7,5,5,6,5,7,9,8,7,9,9,6,5,5,13,8,23,2,,,,,
